Ticker,Company,Avg Daily Move (%),Intraday Swing (%),Avg Overnight Gap (%),Overnight Gap Ratio,Annualized Volatility (%),Max Daily Gain (%),Max Daily Loss (%)
TSLA,Tesla,2.619588682370022,4.235145789264451,1.4271203842617135,0.3369707810010413,59.08510478051027,22.68998467502028,-21.062822719449226
AMD,AMD,2.535229750843167,4.197562238412014,1.3574456799957884,0.32338905366876125,56.84706568709921,23.820483314154206,-24.22907488986783
NFLX,Netflix,1.740148797063995,2.9650593615616563,0.8179490041318962,0.2758626065756382,41.540438599525864,19.028056112224444,-35.11660594934166
QCOM,Qualcomm,1.665435658402096,2.68024541698844,0.9297392316554669,0.3468858581988117,39.49281368545354,23.20741518013292,-14.94525788154597
META,Meta,1.5802219704349874,2.5543733885530044,0.889869930881321,0.3483711249377729,38.74550778684003,23.282392894461857,-26.390092879256965
AMZN,Amazon,1.444395963940536,2.3260885547635275,0.8114462189794166,0.3488457983758529,32.56791908469023,13.535908617852233,-14.049441030730348
SBUX,Starbucks,1.186170497864617,1.9909633342001354,0.5889956914428208,0.2958345245867867,29.51444765935937,24.496949240555633,-16.20423340961098
AAPL,Apple,1.2571382170228285,2.02962889960905,0.7006150891056004,0.3451936899600483,28.999315557374842,15.328848161466201,-12.864697629240574
MSFT,Microsoft,1.1784124605676591,1.9159191656778964,0.6540710990133918,0.34138762779272386,27.1649346072616,14.216884797928952,-14.739029150664251
CSCO,Cisco,1.076310151262087,1.805614512348787,0.5896943858624989,0.32658930343631887,25.938240235459467,13.409247079611264,-13.730355665839532
